experiment_id,audio_id,model_name,l2_Alibaba-NLP/gte-multilingual-base
1765,Anam_Beinschmerzen,Llama 3.1 SauerkrautLM 70B Instruct,0.5335317151083107
1762,Anam_Beinschmerzen,Llama 3.1 SauerkrautLM 70B Instruct,0.5380495405798092
1767,Anam_Beinschmerzen,MedGemma 27B Instruct,0.5585372223129372
1766,Anam_Beinschmerzen,Llama 3.1 SauerkrautLM 70B Instruct,0.532434601385499
1769,Anam_Beinschmerzen,MedGemma 27B Instruct,0.5032180448374627
1768,Anam_Beinschmerzen,MedGemma 27B Instruct,0.5689069412975563
1770,Anam_Beinschmerzen,MedGemma 27B Instruct,0.5886983747711658
1772,Anam_Beinschmerzen,Meta Llama 3.1 8B Instruct,0.5263646371478302
1771,Anam_Beinschmerzen,Meta Llama 3.1 8B Instruct,0.5722147544072509
1773,Anam_Beinschmerzen,Meta Llama 3.1 8B Instruct,0.5863148061924482
1774,Anam_Beinschmerzen,Meta Llama 3.1 8B Instruct,0.5702395573205506
1777,Anam_Beinschmerzen,OpenAI GPT OSS 120B,0.5292041329356751
1776,Anam_Beinschmerzen,OpenAI GPT OSS 120B,0.5247082158123546
1779,Anam_Beinschmerzen,OpenAI GPT OSS 120B,0.5392534967846514
1778,Anam_Beinschmerzen,OpenAI GPT OSS 120B,0.554882119441956
1780,Anam_Cephalgie,Llama 3.1 SauerkrautLM 70B Instruct,0.5807657518317718
1781,Anam_Cephalgie,Llama 3.1 SauerkrautLM 70B Instruct,0.6028777159764535
1783,Anam_Cephalgie,Llama 3.1 SauerkrautLM 70B Instruct,0.5848395481924169
1782,Anam_Cephalgie,Llama 3.1 SauerkrautLM 70B Instruct,0.5959410198488219
1786,Anam_Cephalgie,MedGemma 27B Instruct,0.5697043475473639
1785,Anam_Cephalgie,MedGemma 27B Instruct,0.5714402456324283
1787,Anam_Cephalgie,MedGemma 27B Instruct,0.5620497577731479
1788,Anam_Cephalgie,Meta Llama 3.1 8B Instruct,0.5881181236685612
1784,Anam_Cephalgie,MedGemma 27B Instruct,0.5522781350444214
1790,Anam_Cephalgie,Meta Llama 3.1 8B Instruct,0.5750767883202972
1789,Anam_Cephalgie,Meta Llama 3.1 8B Instruct,0.5825548096158792
1791,Anam_Cephalgie,Meta Llama 3.1 8B Instruct,0.5708711779881066
1793,Anam_Cephalgie,OpenAI GPT OSS 120B,0.5702994115035002
1792,Anam_Cephalgie,OpenAI GPT OSS 120B,0.5206165004398948
1795,Anam_Cephalgie,OpenAI GPT OSS 120B,0.5597275929816811
1794,Anam_Cephalgie,OpenAI GPT OSS 120B,0.6014092806181401
1840,Anam_Covid-19_01,Llama 3.1 SauerkrautLM 70B Instruct,0.47511465117437546
1849,Anam_Covid-19_01,Llama 3.1 SauerkrautLM 70B Instruct,0.49613034511639686
1847,Anam_Covid-19_01,Llama 3.1 SauerkrautLM 70B Instruct,0.4930304756655029
1856,Anam_Covid-19_01,MedGemma 27B Instruct,0.4983438534430897
1851,Anam_Covid-19_01,Llama 3.1 SauerkrautLM 70B Instruct,0.4578388449609098
1853,Anam_Covid-19_01,MedGemma 27B Instruct,0.483893987701577
1858,Anam_Covid-19_01,MedGemma 27B Instruct,0.4863857445291618
1857,Anam_Covid-19_01,MedGemma 27B Instruct,0.48167579692459045
1860,Anam_Covid-19_01,Meta Llama 3.1 8B Instruct,0.4500672857076719
1859,Anam_Covid-19_01,Meta Llama 3.1 8B Instruct,0.42969338586953887
