domain,embedding_model,model_name,audio_id,consistency
medical,embedding_Llama-3.1_8B-Instruct,Llama 3.1 SauerkrautLM 70B Instruct,Anam_Aengstliche-Patientin,0.9604752780508446
medical,embedding_Llama-3.1_8B-Instruct,Llama 3.1 SauerkrautLM 70B Instruct,Anam_Appendizitis,0.9730716864923836
medical,embedding_Llama-3.1_8B-Instruct,Llama 3.1 SauerkrautLM 70B Instruct,Anam_Bauchschmerzen,0.9551003777609264
medical,embedding_Llama-3.1_8B-Instruct,Llama 3.1 SauerkrautLM 70B Instruct,Anam_Beinschmerzen,0.9752280707158762
medical,embedding_Llama-3.1_8B-Instruct,Llama 3.1 SauerkrautLM 70B Instruct,Anam_Cephalgie,0.9616794565493136
medical,embedding_Llama-3.1_8B-Instruct,Llama 3.1 SauerkrautLM 70B Instruct,Anam_Cholezystitis,0.9873510640296478
medical,embedding_Llama-3.1_8B-Instruct,Llama 3.1 SauerkrautLM 70B Instruct,Anam_Covid-19_01,0.8958557646640243
medical,embedding_Llama-3.1_8B-Instruct,Llama 3.1 SauerkrautLM 70B Instruct,Anam_Covid-19_02,0.8915758107228537
medical,embedding_Llama-3.1_8B-Instruct,Llama 3.1 SauerkrautLM 70B Instruct,Anam_Fahrradunfall_01,0.892957672470429
medical,embedding_Llama-3.1_8B-Instruct,Llama 3.1 SauerkrautLM 70B Instruct,Anam_Fahrradunfall_02,0.9050964605995198
medical,embedding_Llama-3.1_8B-Instruct,Llama 3.1 SauerkrautLM 70B Instruct,Anam_Fremdanamnese,0.9580759797959444
medical,embedding_Llama-3.1_8B-Instruct,Llama 3.1 SauerkrautLM 70B Instruct,Anam_Fremdanamnese_Saeugling,0.8662053037858796
medical,embedding_Llama-3.1_8B-Instruct,Llama 3.1 SauerkrautLM 70B Instruct,Anam_Gastroenteritis,0.9612081162798942
medical,embedding_Llama-3.1_8B-Instruct,Llama 3.1 SauerkrautLM 70B Instruct,Anam_Hyperthyreose,0.9654484878074436
medical,embedding_Llama-3.1_8B-Instruct,Llama 3.1 SauerkrautLM 70B Instruct,Anam_Koronarsyndrom,0.9126324173247126
medical,embedding_Llama-3.1_8B-Instruct,Llama 3.1 SauerkrautLM 70B Instruct,Anam_Lymphom,0.955385975406264
medical,embedding_Llama-3.1_8B-Instruct,Llama 3.1 SauerkrautLM 70B Instruct,Anam_Oesophaguskarzinom,0.8800416994125809
medical,embedding_Llama-3.1_8B-Instruct,Llama 3.1 SauerkrautLM 70B Instruct,Anam_Pankreatitis,0.9507094915588776
medical,embedding_Llama-3.1_8B-Instruct,Llama 3.1 SauerkrautLM 70B Instruct,Anam_Pneumonie_01,0.9713834133253582
medical,embedding_Llama-3.1_8B-Instruct,Llama 3.1 SauerkrautLM 70B Instruct,Anam_Pneumonie_02,0.9361466893306456
medical,embedding_Llama-3.1_8B-Instruct,Llama 3.1 SauerkrautLM 70B Instruct,Anam_Pyelonephritis,0.9359554244405872
medical,embedding_Llama-3.1_8B-Instruct,Llama 3.1 SauerkrautLM 70B Instruct,Anam_Rueckenschmerzen,0.9757981438709796
medical,embedding_Llama-3.1_8B-Instruct,Llama 3.1 SauerkrautLM 70B Instruct,Anam_Thorakale Schmerzen,0.9701290617577976
