experiment_id,audio_id,model_name,sim_BAAI/bge-m3
1765,Anam_Beinschmerzen,Llama 3.1 SauerkrautLM 70B Instruct,0.7619013752660796
1762,Anam_Beinschmerzen,Llama 3.1 SauerkrautLM 70B Instruct,0.7854794963133334
1767,Anam_Beinschmerzen,MedGemma 27B Instruct,0.816465990692296
1766,Anam_Beinschmerzen,Llama 3.1 SauerkrautLM 70B Instruct,0.8038148765867482
1769,Anam_Beinschmerzen,MedGemma 27B Instruct,0.8457351427922573
1768,Anam_Beinschmerzen,MedGemma 27B Instruct,0.8557387384040283
1770,Anam_Beinschmerzen,MedGemma 27B Instruct,0.842037116158201
1772,Anam_Beinschmerzen,Meta Llama 3.1 8B Instruct,0.8820137264967249
1771,Anam_Beinschmerzen,Meta Llama 3.1 8B Instruct,0.8615747957322178
1773,Anam_Beinschmerzen,Meta Llama 3.1 8B Instruct,0.8241780881020591
1774,Anam_Beinschmerzen,Meta Llama 3.1 8B Instruct,0.8246653203074379
1777,Anam_Beinschmerzen,OpenAI GPT OSS 120B,0.8591700800118531
1776,Anam_Beinschmerzen,OpenAI GPT OSS 120B,0.8605013938033359
1779,Anam_Beinschmerzen,OpenAI GPT OSS 120B,0.8804860507264979
1778,Anam_Beinschmerzen,OpenAI GPT OSS 120B,0.8764715838910953
1780,Anam_Cephalgie,Llama 3.1 SauerkrautLM 70B Instruct,0.7917714109383267
1781,Anam_Cephalgie,Llama 3.1 SauerkrautLM 70B Instruct,0.7872883223657104
1783,Anam_Cephalgie,Llama 3.1 SauerkrautLM 70B Instruct,0.7708367164144355
1782,Anam_Cephalgie,Llama 3.1 SauerkrautLM 70B Instruct,0.7652052363220301
1786,Anam_Cephalgie,MedGemma 27B Instruct,0.8309009810480528
1785,Anam_Cephalgie,MedGemma 27B Instruct,0.806688194147408
1787,Anam_Cephalgie,MedGemma 27B Instruct,0.8485441865647555
1788,Anam_Cephalgie,Meta Llama 3.1 8B Instruct,0.7908740800725357
1784,Anam_Cephalgie,MedGemma 27B Instruct,0.8489840472817017
1790,Anam_Cephalgie,Meta Llama 3.1 8B Instruct,0.7764680554391619
1789,Anam_Cephalgie,Meta Llama 3.1 8B Instruct,0.766305494321905
1791,Anam_Cephalgie,Meta Llama 3.1 8B Instruct,0.80119220471546
1793,Anam_Cephalgie,OpenAI GPT OSS 120B,0.8583169089190752
1792,Anam_Cephalgie,OpenAI GPT OSS 120B,0.8398043465414546
1795,Anam_Cephalgie,OpenAI GPT OSS 120B,0.8499314991681317
1794,Anam_Cephalgie,OpenAI GPT OSS 120B,0.7993850934909574
1840,Anam_Covid-19_01,Llama 3.1 SauerkrautLM 70B Instruct,0.8439129798198493
1849,Anam_Covid-19_01,Llama 3.1 SauerkrautLM 70B Instruct,0.8564314457713151
1847,Anam_Covid-19_01,Llama 3.1 SauerkrautLM 70B Instruct,0.8239788689992096
1856,Anam_Covid-19_01,MedGemma 27B Instruct,0.8726733948729906
1851,Anam_Covid-19_01,Llama 3.1 SauerkrautLM 70B Instruct,0.8227402718286956
1853,Anam_Covid-19_01,MedGemma 27B Instruct,0.8730027453205553
1858,Anam_Covid-19_01,MedGemma 27B Instruct,0.8758118338903056
1857,Anam_Covid-19_01,MedGemma 27B Instruct,0.8628791170884098
1860,Anam_Covid-19_01,Meta Llama 3.1 8B Instruct,0.8602103045703695
1859,Anam_Covid-19_01,Meta Llama 3.1 8B Instruct,0.8721641492434776
