experiment_id,audio_id,model_name,l2_embedding_Jina_v3
1765,Anam_Beinschmerzen,Llama 3.1 SauerkrautLM 70B Instruct,0.6017775581869222
1762,Anam_Beinschmerzen,Llama 3.1 SauerkrautLM 70B Instruct,0.5701752063794787
1767,Anam_Beinschmerzen,MedGemma 27B Instruct,0.5863945282668022
1766,Anam_Beinschmerzen,Llama 3.1 SauerkrautLM 70B Instruct,0.574254066572033
1769,Anam_Beinschmerzen,MedGemma 27B Instruct,0.5571612517271538
1768,Anam_Beinschmerzen,MedGemma 27B Instruct,0.5705298189134218
1770,Anam_Beinschmerzen,MedGemma 27B Instruct,0.6009309793076434
1772,Anam_Beinschmerzen,Meta Llama 3.1 8B Instruct,0.4681215695955516
1771,Anam_Beinschmerzen,Meta Llama 3.1 8B Instruct,0.4391138624310411
1773,Anam_Beinschmerzen,Meta Llama 3.1 8B Instruct,0.47218089456335766
1774,Anam_Beinschmerzen,Meta Llama 3.1 8B Instruct,0.46936187104400634
1777,Anam_Beinschmerzen,OpenAI GPT OSS 120B,0.5515899678573248
1776,Anam_Beinschmerzen,OpenAI GPT OSS 120B,0.5379816325470455
1779,Anam_Beinschmerzen,OpenAI GPT OSS 120B,0.5116925273287947
1778,Anam_Beinschmerzen,OpenAI GPT OSS 120B,0.5408681481067945
1780,Anam_Cephalgie,Llama 3.1 SauerkrautLM 70B Instruct,0.6334688769476062
1781,Anam_Cephalgie,Llama 3.1 SauerkrautLM 70B Instruct,0.6447655562461446
1783,Anam_Cephalgie,Llama 3.1 SauerkrautLM 70B Instruct,0.6683292210055954
1782,Anam_Cephalgie,Llama 3.1 SauerkrautLM 70B Instruct,0.673650772603822
1786,Anam_Cephalgie,MedGemma 27B Instruct,0.5609869760464746
1785,Anam_Cephalgie,MedGemma 27B Instruct,0.5450679257404795
1787,Anam_Cephalgie,MedGemma 27B Instruct,0.5480142519936685
1788,Anam_Cephalgie,Meta Llama 3.1 8B Instruct,0.6029325682221626
1784,Anam_Cephalgie,MedGemma 27B Instruct,0.5255322114680478
1790,Anam_Cephalgie,Meta Llama 3.1 8B Instruct,0.586748335949932
1789,Anam_Cephalgie,Meta Llama 3.1 8B Instruct,0.574326899490735
1791,Anam_Cephalgie,Meta Llama 3.1 8B Instruct,0.5922697183392426
1793,Anam_Cephalgie,OpenAI GPT OSS 120B,0.5678552394478205
1792,Anam_Cephalgie,OpenAI GPT OSS 120B,0.5359378376394318
1795,Anam_Cephalgie,OpenAI GPT OSS 120B,0.5718928862325132
1794,Anam_Cephalgie,OpenAI GPT OSS 120B,0.5617502036350167
1840,Anam_Covid-19_01,Llama 3.1 SauerkrautLM 70B Instruct,0.5362888094850494
1849,Anam_Covid-19_01,Llama 3.1 SauerkrautLM 70B Instruct,0.5510906915771281
1847,Anam_Covid-19_01,Llama 3.1 SauerkrautLM 70B Instruct,0.5242023859270301
1856,Anam_Covid-19_01,MedGemma 27B Instruct,0.5732000229970954
1851,Anam_Covid-19_01,Llama 3.1 SauerkrautLM 70B Instruct,0.5627317507405211
1853,Anam_Covid-19_01,MedGemma 27B Instruct,0.5506894679493409
1858,Anam_Covid-19_01,MedGemma 27B Instruct,0.5691370800688299
1857,Anam_Covid-19_01,MedGemma 27B Instruct,0.5541112622207516
1860,Anam_Covid-19_01,Meta Llama 3.1 8B Instruct,0.47499528134534375
1859,Anam_Covid-19_01,Meta Llama 3.1 8B Instruct,0.48756585626326243
1861,Anam_Covid-19_01,Meta Llama 3.1 8B Instruct,0.501676734230913
1862,Anam_Covid-19_01,Meta Llama 3.1 8B Instruct,0.4344434867459454
1864,Anam_Covid-19_01,OpenAI GPT OSS 120B,0.5832282877384637
1863,Anam_Covid-19_01,OpenAI GPT OSS 120B,0.5358293594790131
1865,Anam_Covid-19_01,OpenAI GPT OSS 120B,0.551499358780985
1875,Anam_Fahrradunfall_01,MedGemma 27B Instruct,0.5932768039066161
1866,Anam_Covid-19_01,OpenAI GPT OSS 120B,0.5659620250389387
1876,Anam_Fahrradunfall_01,MedGemma 27B Instruct,0.6247388701546476
1878,Anam_Fahrradunfall_01,MedGemma 27B Instruct,0.6110048171678846
1877,Anam_Fahrradunfall_01,MedGemma 27B Instruct,0.6119144800767162
1879,Anam_Fahrradunfall_01,Meta Llama 3.1 8B Instruct,0.6036941975022495
1881,Anam_Fahrradunfall_01,Meta Llama 3.1 8B Instruct,0.6394650888907872
1880,Anam_Fahrradunfall_01,Meta Llama 3.1 8B Instruct,0.6017439352026448
1882,Anam_Fahrradunfall_01,Meta Llama 3.1 8B Instruct,0.6152830355262133
1872,Anam_Fahrradunfall_01,Llama 3.1 SauerkrautLM 70B Instruct,0.5651067955734649
1763,Anam_Beinschmerzen,Llama 3.1 SauerkrautLM 70B Instruct,0.5628869904883893
1874,Anam_Fahrradunfall_01,Llama 3.1 SauerkrautLM 70B Instruct,0.6430266776806021
1873,Anam_Fahrradunfall_01,Llama 3.1 SauerkrautLM 70B Instruct,0.6631245435888105
1871,Anam_Fahrradunfall_01,Llama 3.1 SauerkrautLM 70B Instruct,0.5777741186238742
1888,Anam_Aengstliche-Patientin,Llama 3.1 SauerkrautLM 70B Instruct,0.6717997162540057
1887,Anam_Aengstliche-Patientin,Llama 3.1 SauerkrautLM 70B Instruct,0.6872862185444041
1889,Anam_Aengstliche-Patientin,Llama 3.1 SauerkrautLM 70B Instruct,0.6845014061805076
1891,Anam_Aengstliche-Patientin,MedGemma 27B Instruct,0.5435225518943066
1890,Anam_Aengstliche-Patientin,Llama 3.1 SauerkrautLM 70B Instruct,0.6930838324507221
1893,Anam_Aengstliche-Patientin,MedGemma 27B Instruct,0.45163023875667596
1892,Anam_Aengstliche-Patientin,MedGemma 27B Instruct,0.473937989157101
1894,Anam_Aengstliche-Patientin,MedGemma 27B Instruct,0.514249477895029
1896,Anam_Aengstliche-Patientin,Meta Llama 3.1 8B Instruct,0.5859683250832631
1895,Anam_Aengstliche-Patientin,Meta Llama 3.1 8B Instruct,0.5594017939421573
1898,Anam_Aengstliche-Patientin,Meta Llama 3.1 8B Instruct,0.6185435495683499
1897,Anam_Aengstliche-Patientin,Meta Llama 3.1 8B Instruct,0.5858331062918559
1899,Anam_Aengstliche-Patientin,OpenAI GPT OSS 120B,0.6164462504968451
1901,Anam_Aengstliche-Patientin,OpenAI GPT OSS 120B,0.5313490939709163
1900,Anam_Aengstliche-Patientin,OpenAI GPT OSS 120B,0.5880982123957825
1902,Anam_Aengstliche-Patientin,OpenAI GPT OSS 120B,0.5085159631571676
1883,Anam_Fahrradunfall_01,OpenAI GPT OSS 120B,0.54378375547986
1884,Anam_Fahrradunfall_01,OpenAI GPT OSS 120B,0.5375938928566331
2008,Anam_Cholezystitis,MedGemma 27B Instruct,0.5294552967458184
1886,Anam_Fahrradunfall_01,OpenAI GPT OSS 120B,0.5963134123591606
2013,Anam_Cholezystitis,Meta Llama 3.1 8B Instruct,0.6224094113927267
2026,Anam_Cholezystitis,OpenAI GPT OSS 120B,0.5647121780916734
2014,Anam_Cholezystitis,Meta Llama 3.1 8B Instruct,0.6643276827107517
2023,Anam_Cholezystitis,OpenAI GPT OSS 120B,0.5696974086744425
2021,Anam_Cholezystitis,OpenAI GPT OSS 120B,0.5719249361888352
2020,Anam_Cholezystitis,OpenAI GPT OSS 120B,0.5976440075535316
1994,Anam_Cholezystitis,Llama 3.1 SauerkrautLM 70B Instruct,0.6996903342137524
1885,Anam_Fahrradunfall_01,OpenAI GPT OSS 120B,0.5037542153660367
2019,Anam_Cholezystitis,Meta Llama 3.1 8B Instruct,0.5784961221153474
2018,Anam_Cholezystitis,Meta Llama 3.1 8B Instruct,0.6332297998244852
2012,Anam_Cholezystitis,MedGemma 27B Instruct,0.6010599306736024
2007,Anam_Cholezystitis,MedGemma 27B Instruct,0.5691614688014422
2006,Anam_Cholezystitis,MedGemma 27B Instruct,0.5491603147772111
2005,Anam_Cholezystitis,Llama 3.1 SauerkrautLM 70B Instruct,0.6675824262893401
2001,Anam_Cholezystitis,Llama 3.1 SauerkrautLM 70B Instruct,0.6676551063630168
1999,Anam_Cholezystitis,Llama 3.1 SauerkrautLM 70B Instruct,0.6716103113271454
2031,Anam_Covid-19_02,Llama 3.1 SauerkrautLM 70B Instruct,0.6259133211569491
2034,Anam_Covid-19_02,Llama 3.1 SauerkrautLM 70B Instruct,0.6065864859822577
2033,Anam_Covid-19_02,Llama 3.1 SauerkrautLM 70B Instruct,0.60787270040153
2035,Anam_Covid-19_02,Llama 3.1 SauerkrautLM 70B Instruct,0.6272579524872091
2036,Anam_Covid-19_02,MedGemma 27B Instruct,0.5821644638709538
2040,Anam_Covid-19_02,MedGemma 27B Instruct,0.527185059082475
2043,Anam_Covid-19_02,Llama 3.1 SauerkrautLM 70B Instruct,0.5230858179182655
2041,Anam_Covid-19_02,MedGemma 27B Instruct,0.4848056418323437
2049,Anam_Covid-19_02,Meta Llama 3.1 8B Instruct,0.34111532276119655
2047,Anam_Covid-19_02,Meta Llama 3.1 8B Instruct,0.3604838917845116
2050,Anam_Covid-19_02,Meta Llama 3.1 8B Instruct,0.544732361341412
2057,Anam_Gastroenteritis,Llama 3.1 SauerkrautLM 70B Instruct,0.5904812676506663
2051,Anam_Covid-19_02,Meta Llama 3.1 8B Instruct,0.5326203319343298
2058,Anam_Gastroenteritis,Llama 3.1 SauerkrautLM 70B Instruct,0.5922228543292809
2060,Anam_Gastroenteritis,Llama 3.1 SauerkrautLM 70B Instruct,0.6013092744313904
2059,Anam_Gastroenteritis,Llama 3.1 SauerkrautLM 70B Instruct,0.5892263743722624
2062,Anam_Gastroenteritis,MedGemma 27B Instruct,0.5640044034557536
2061,Anam_Gastroenteritis,MedGemma 27B Instruct,0.5788730776493061
2063,Anam_Gastroenteritis,MedGemma 27B Instruct,0.5946503384313389
2065,Anam_Gastroenteritis,Meta Llama 3.1 8B Instruct,0.5708755642266564
2064,Anam_Gastroenteritis,MedGemma 27B Instruct,0.5575362662965069
2066,Anam_Gastroenteritis,Meta Llama 3.1 8B Instruct,0.5687578157936073
2068,Anam_Gastroenteritis,Meta Llama 3.1 8B Instruct,0.5209321940660291
2067,Anam_Gastroenteritis,Meta Llama 3.1 8B Instruct,0.5554649344095397
2073,Anam_Koronarsyndrom,Llama 3.1 SauerkrautLM 70B Instruct,0.5455815767907801
2074,Anam_Koronarsyndrom,Llama 3.1 SauerkrautLM 70B Instruct,0.5715140438567069
2076,Anam_Koronarsyndrom,Llama 3.1 SauerkrautLM 70B Instruct,0.5735112004084021
2075,Anam_Koronarsyndrom,Llama 3.1 SauerkrautLM 70B Instruct,0.5706299340330956
2078,Anam_Koronarsyndrom,MedGemma 27B Instruct,0.5443339247213839
2077,Anam_Koronarsyndrom,MedGemma 27B Instruct,0.5244398281721612
2080,Anam_Koronarsyndrom,Meta Llama 3.1 8B Instruct,0.5633844011605512
2079,Anam_Koronarsyndrom,MedGemma 27B Instruct,0.5247845693308959
2081,Anam_Koronarsyndrom,MedGemma 27B Instruct,0.5587311722903945
2083,Anam_Koronarsyndrom,Meta Llama 3.1 8B Instruct,0.578466166254894
2082,Anam_Koronarsyndrom,Meta Llama 3.1 8B Instruct,0.5905824742395137
2089,Anam_Pankreatitis,Llama 3.1 SauerkrautLM 70B Instruct,0.6367407448201273
2084,Anam_Koronarsyndrom,Meta Llama 3.1 8B Instruct,0.5644799022157532
2090,Anam_Pankreatitis,Llama 3.1 SauerkrautLM 70B Instruct,0.6552465317140139
2092,Anam_Pankreatitis,Llama 3.1 SauerkrautLM 70B Instruct,0.6340641479784669
2091,Anam_Pankreatitis,Llama 3.1 SauerkrautLM 70B Instruct,0.666312510358528
2093,Anam_Pankreatitis,MedGemma 27B Instruct,0.5755566480405404
2095,Anam_Pankreatitis,MedGemma 27B Instruct,0.6215546527330654
2094,Anam_Pankreatitis,MedGemma 27B Instruct,0.6165125303455998
2097,Anam_Pankreatitis,Meta Llama 3.1 8B Instruct,0.5337717943437099
2096,Anam_Pankreatitis,MedGemma 27B Instruct,0.6204613097173066
