experiment_id,audio_id,model_name,l2_BAAI/bge-m3
1765,Anam_Beinschmerzen,Llama 3.1 SauerkrautLM 70B Instruct,0.6900704805246042
1762,Anam_Beinschmerzen,Llama 3.1 SauerkrautLM 70B Instruct,0.6550122569696609
1767,Anam_Beinschmerzen,MedGemma 27B Instruct,0.6058614077955998
1766,Anam_Beinschmerzen,Llama 3.1 SauerkrautLM 70B Instruct,0.6263946625818066
1769,Anam_Beinschmerzen,MedGemma 27B Instruct,0.5554545375281016
1768,Anam_Beinschmerzen,MedGemma 27B Instruct,0.5371429475642234
1770,Anam_Beinschmerzen,MedGemma 27B Instruct,0.5620727482977402
1772,Anam_Beinschmerzen,Meta Llama 3.1 8B Instruct,0.4857700816588945
1771,Anam_Beinschmerzen,Meta Llama 3.1 8B Instruct,0.5261657698807195
1773,Anam_Beinschmerzen,Meta Llama 3.1 8B Instruct,0.5929956495045999
1774,Anam_Beinschmerzen,Meta Llama 3.1 8B Instruct,0.5921734290565039
1777,Anam_Beinschmerzen,OpenAI GPT OSS 120B,0.5307163605561985
1776,Anam_Beinschmerzen,OpenAI GPT OSS 120B,0.5282018840591749
1779,Anam_Beinschmerzen,OpenAI GPT OSS 120B,0.4889048095509069
1778,Anam_Beinschmerzen,OpenAI GPT OSS 120B,0.4970481190846275
1780,Anam_Cephalgie,Llama 3.1 SauerkrautLM 70B Instruct,0.6453349308854621
1781,Anam_Cephalgie,Llama 3.1 SauerkrautLM 70B Instruct,0.652244847274417
1783,Anam_Cephalgie,Llama 3.1 SauerkrautLM 70B Instruct,0.6769981961546846
1782,Anam_Cephalgie,Llama 3.1 SauerkrautLM 70B Instruct,0.6852660418984085
1786,Anam_Cephalgie,MedGemma 27B Instruct,0.5815479630315233
1785,Anam_Cephalgie,MedGemma 27B Instruct,0.6217906526355212
1787,Anam_Cephalgie,MedGemma 27B Instruct,0.5503740738181895
1788,Anam_Cephalgie,Meta Llama 3.1 8B Instruct,0.6467239283891641
1784,Anam_Cephalgie,MedGemma 27B Instruct,0.5495743015825243
1790,Anam_Cephalgie,Meta Llama 3.1 8B Instruct,0.6686283615492423
1789,Anam_Cephalgie,Meta Llama 3.1 8B Instruct,0.6836585406053597
1791,Anam_Cephalgie,Meta Llama 3.1 8B Instruct,0.6305676796308757
1793,Anam_Cephalgie,OpenAI GPT OSS 120B,0.5323214928665365
1792,Anam_Cephalgie,OpenAI GPT OSS 120B,0.5660312028173881
1795,Anam_Cephalgie,OpenAI GPT OSS 120B,0.5478476243384743
1794,Anam_Cephalgie,OpenAI GPT OSS 120B,0.6334270302960903
1840,Anam_Covid-19_01,Llama 3.1 SauerkrautLM 70B Instruct,0.5587253829295339
1849,Anam_Covid-19_01,Llama 3.1 SauerkrautLM 70B Instruct,0.5358517773371633
1847,Anam_Covid-19_01,Llama 3.1 SauerkrautLM 70B Instruct,0.5933315082395146
