experiment_id,audio_id,model_name,l2_embedding_Llama-3.1_8B-Instruct
1765,Anam_Beinschmerzen,Llama 3.1 SauerkrautLM 70B Instruct,0.7652755812802451
1762,Anam_Beinschmerzen,Llama 3.1 SauerkrautLM 70B Instruct,0.7578731095655666
1767,Anam_Beinschmerzen,MedGemma 27B Instruct,1.133137335783021
1766,Anam_Beinschmerzen,Llama 3.1 SauerkrautLM 70B Instruct,0.798669628083142
1769,Anam_Beinschmerzen,MedGemma 27B Instruct,0.9081861359582482
1768,Anam_Beinschmerzen,MedGemma 27B Instruct,0.7135874825212978
1770,Anam_Beinschmerzen,MedGemma 27B Instruct,0.7591255461123613
1772,Anam_Beinschmerzen,Meta Llama 3.1 8B Instruct,0.7453399989087282
1771,Anam_Beinschmerzen,Meta Llama 3.1 8B Instruct,0.7121862992447031
1773,Anam_Beinschmerzen,Meta Llama 3.1 8B Instruct,0.7445307772004273
1774,Anam_Beinschmerzen,Meta Llama 3.1 8B Instruct,0.7365993386802512
1777,Anam_Beinschmerzen,OpenAI GPT OSS 120B,0.7729373971341548
1776,Anam_Beinschmerzen,OpenAI GPT OSS 120B,0.7550683176084751
1779,Anam_Beinschmerzen,OpenAI GPT OSS 120B,0.8108968568450214
1778,Anam_Beinschmerzen,OpenAI GPT OSS 120B,0.7773178235301653
1780,Anam_Cephalgie,Llama 3.1 SauerkrautLM 70B Instruct,0.748700117302866
1781,Anam_Cephalgie,Llama 3.1 SauerkrautLM 70B Instruct,0.7146684471563233
1783,Anam_Cephalgie,Llama 3.1 SauerkrautLM 70B Instruct,0.7207689352062959
1782,Anam_Cephalgie,Llama 3.1 SauerkrautLM 70B Instruct,0.7184470013630398
1786,Anam_Cephalgie,MedGemma 27B Instruct,0.7580457619101405
1785,Anam_Cephalgie,MedGemma 27B Instruct,0.723063296951162
1787,Anam_Cephalgie,MedGemma 27B Instruct,0.7232838798556893
1788,Anam_Cephalgie,Meta Llama 3.1 8B Instruct,0.7669915025290426
1784,Anam_Cephalgie,MedGemma 27B Instruct,0.6587104340848081
1790,Anam_Cephalgie,Meta Llama 3.1 8B Instruct,0.7580979324122583
1789,Anam_Cephalgie,Meta Llama 3.1 8B Instruct,0.7261145881849047
1791,Anam_Cephalgie,Meta Llama 3.1 8B Instruct,0.7635059259360516
1793,Anam_Cephalgie,OpenAI GPT OSS 120B,0.7471525382304276
1792,Anam_Cephalgie,OpenAI GPT OSS 120B,0.8181894591487489
1795,Anam_Cephalgie,OpenAI GPT OSS 120B,0.8053794563071064
1794,Anam_Cephalgie,OpenAI GPT OSS 120B,0.7493033520614525
1840,Anam_Covid-19_01,Llama 3.1 SauerkrautLM 70B Instruct,0.8469603788363882
1849,Anam_Covid-19_01,Llama 3.1 SauerkrautLM 70B Instruct,0.7568888717093198
1847,Anam_Covid-19_01,Llama 3.1 SauerkrautLM 70B Instruct,0.8254231230089633
1856,Anam_Covid-19_01,MedGemma 27B Instruct,0.7453345212190133
1851,Anam_Covid-19_01,Llama 3.1 SauerkrautLM 70B Instruct,0.8044680466958218
1853,Anam_Covid-19_01,MedGemma 27B Instruct,0.7461336578666238
1858,Anam_Covid-19_01,MedGemma 27B Instruct,0.7210580881277273
1857,Anam_Covid-19_01,MedGemma 27B Instruct,0.7367075494011521
1860,Anam_Covid-19_01,Meta Llama 3.1 8B Instruct,0.7817960425115484
1859,Anam_Covid-19_01,Meta Llama 3.1 8B Instruct,0.7525440983656653
1861,Anam_Covid-19_01,Meta Llama 3.1 8B Instruct,0.7493357051379963
1862,Anam_Covid-19_01,Meta Llama 3.1 8B Instruct,0.7411784893756617
1864,Anam_Covid-19_01,OpenAI GPT OSS 120B,0.7610578498340316
1863,Anam_Covid-19_01,OpenAI GPT OSS 120B,0.8017066585337281
1865,Anam_Covid-19_01,OpenAI GPT OSS 120B,0.8083135332754547
1875,Anam_Fahrradunfall_01,MedGemma 27B Instruct,0.7102459706418105
1866,Anam_Covid-19_01,OpenAI GPT OSS 120B,0.7505204142874856
1876,Anam_Fahrradunfall_01,MedGemma 27B Instruct,0.692611539728398
1878,Anam_Fahrradunfall_01,MedGemma 27B Instruct,0.7428554679659639
1877,Anam_Fahrradunfall_01,MedGemma 27B Instruct,0.6959962978989431
1879,Anam_Fahrradunfall_01,Meta Llama 3.1 8B Instruct,0.6570748082621795
1881,Anam_Fahrradunfall_01,Meta Llama 3.1 8B Instruct,0.6727421745075298
1880,Anam_Fahrradunfall_01,Meta Llama 3.1 8B Instruct,0.6696859607590883
1882,Anam_Fahrradunfall_01,Meta Llama 3.1 8B Instruct,0.6762634595345655
1872,Anam_Fahrradunfall_01,Llama 3.1 SauerkrautLM 70B Instruct,0.7592190588543056
1763,Anam_Beinschmerzen,Llama 3.1 SauerkrautLM 70B Instruct,0.7683382181822777
1874,Anam_Fahrradunfall_01,Llama 3.1 SauerkrautLM 70B Instruct,0.6979825072911556
1873,Anam_Fahrradunfall_01,Llama 3.1 SauerkrautLM 70B Instruct,0.7011998170277285
1871,Anam_Fahrradunfall_01,Llama 3.1 SauerkrautLM 70B Instruct,0.7773987041674368
1888,Anam_Aengstliche-Patientin,Llama 3.1 SauerkrautLM 70B Instruct,0.743678926794133
1887,Anam_Aengstliche-Patientin,Llama 3.1 SauerkrautLM 70B Instruct,0.7725817330407295
1889,Anam_Aengstliche-Patientin,Llama 3.1 SauerkrautLM 70B Instruct,0.742204302420631
1891,Anam_Aengstliche-Patientin,MedGemma 27B Instruct,1.0591399104689412
1890,Anam_Aengstliche-Patientin,Llama 3.1 SauerkrautLM 70B Instruct,0.7281278794789025
1893,Anam_Aengstliche-Patientin,MedGemma 27B Instruct,0.7617406925420684
1892,Anam_Aengstliche-Patientin,MedGemma 27B Instruct,1.2419879199835944
1894,Anam_Aengstliche-Patientin,MedGemma 27B Instruct,0.9415858256669518
1896,Anam_Aengstliche-Patientin,Meta Llama 3.1 8B Instruct,0.8556026850104697
1895,Anam_Aengstliche-Patientin,Meta Llama 3.1 8B Instruct,0.7125398786049504
1898,Anam_Aengstliche-Patientin,Meta Llama 3.1 8B Instruct,0.7115063553742421
1897,Anam_Aengstliche-Patientin,Meta Llama 3.1 8B Instruct,0.7432517273021054
1899,Anam_Aengstliche-Patientin,OpenAI GPT OSS 120B,0.9547837888490237
1901,Anam_Aengstliche-Patientin,OpenAI GPT OSS 120B,0.8095929528992979
1900,Anam_Aengstliche-Patientin,OpenAI GPT OSS 120B,0.7520507136609437
1902,Anam_Aengstliche-Patientin,OpenAI GPT OSS 120B,0.7729984987810273
1883,Anam_Fahrradunfall_01,OpenAI GPT OSS 120B,0.710096444177715
1884,Anam_Fahrradunfall_01,OpenAI GPT OSS 120B,0.6529195464220818
2008,Anam_Cholezystitis,MedGemma 27B Instruct,0.676377963653073
1886,Anam_Fahrradunfall_01,OpenAI GPT OSS 120B,0.7288232308295558
2013,Anam_Cholezystitis,Meta Llama 3.1 8B Instruct,0.7212445925598236
2026,Anam_Cholezystitis,OpenAI GPT OSS 120B,0.7402193606598115
2014,Anam_Cholezystitis,Meta Llama 3.1 8B Instruct,0.7470696456503908
2023,Anam_Cholezystitis,OpenAI GPT OSS 120B,0.734904438656571
2021,Anam_Cholezystitis,OpenAI GPT OSS 120B,0.7518295075289598
2020,Anam_Cholezystitis,OpenAI GPT OSS 120B,0.7146834137837469
1994,Anam_Cholezystitis,Llama 3.1 SauerkrautLM 70B Instruct,0.7392471473900457
1885,Anam_Fahrradunfall_01,OpenAI GPT OSS 120B,0.70048031263728
2019,Anam_Cholezystitis,Meta Llama 3.1 8B Instruct,0.7484297385452294
2018,Anam_Cholezystitis,Meta Llama 3.1 8B Instruct,0.7674228138386506
2012,Anam_Cholezystitis,MedGemma 27B Instruct,0.7350329214766121
2007,Anam_Cholezystitis,MedGemma 27B Instruct,0.7359020063281092
2006,Anam_Cholezystitis,MedGemma 27B Instruct,0.6760447772978956
2005,Anam_Cholezystitis,Llama 3.1 SauerkrautLM 70B Instruct,0.7492071077076935
2001,Anam_Cholezystitis,Llama 3.1 SauerkrautLM 70B Instruct,0.7557965410703956
1999,Anam_Cholezystitis,Llama 3.1 SauerkrautLM 70B Instruct,0.7272122066175497
2031,Anam_Covid-19_02,Llama 3.1 SauerkrautLM 70B Instruct,0.8819336668250027
2034,Anam_Covid-19_02,Llama 3.1 SauerkrautLM 70B Instruct,0.835507804563654
2033,Anam_Covid-19_02,Llama 3.1 SauerkrautLM 70B Instruct,0.8353661882893737
2035,Anam_Covid-19_02,Llama 3.1 SauerkrautLM 70B Instruct,0.8313686982655492
2036,Anam_Covid-19_02,MedGemma 27B Instruct,1.050311966590488
2040,Anam_Covid-19_02,MedGemma 27B Instruct,1.0727893787103107
2043,Anam_Covid-19_02,Llama 3.1 SauerkrautLM 70B Instruct,0.8454172713231892
2041,Anam_Covid-19_02,MedGemma 27B Instruct,1.1540393435022376
2049,Anam_Covid-19_02,Meta Llama 3.1 8B Instruct,0.26386950336499915
2047,Anam_Covid-19_02,Meta Llama 3.1 8B Instruct,0.22811547420668143
2050,Anam_Covid-19_02,Meta Llama 3.1 8B Instruct,0.797548624240576
2057,Anam_Gastroenteritis,Llama 3.1 SauerkrautLM 70B Instruct,0.7693597127021847
2051,Anam_Covid-19_02,Meta Llama 3.1 8B Instruct,0.9909662378785717
2058,Anam_Gastroenteritis,Llama 3.1 SauerkrautLM 70B Instruct,0.7781879754422281
2060,Anam_Gastroenteritis,Llama 3.1 SauerkrautLM 70B Instruct,0.7838253120841714
2059,Anam_Gastroenteritis,Llama 3.1 SauerkrautLM 70B Instruct,0.7481926769258265
2062,Anam_Gastroenteritis,MedGemma 27B Instruct,0.7803219236106955
2061,Anam_Gastroenteritis,MedGemma 27B Instruct,0.770721223860922
2063,Anam_Gastroenteritis,MedGemma 27B Instruct,0.7622840790460034
2065,Anam_Gastroenteritis,Meta Llama 3.1 8B Instruct,0.7433540704116958
2064,Anam_Gastroenteritis,MedGemma 27B Instruct,1.090265235788947
2066,Anam_Gastroenteritis,Meta Llama 3.1 8B Instruct,0.8076164312877618
2068,Anam_Gastroenteritis,Meta Llama 3.1 8B Instruct,0.752964737150736
2067,Anam_Gastroenteritis,Meta Llama 3.1 8B Instruct,0.7519063868524067
2073,Anam_Koronarsyndrom,Llama 3.1 SauerkrautLM 70B Instruct,0.8159207250411893
2074,Anam_Koronarsyndrom,Llama 3.1 SauerkrautLM 70B Instruct,0.8841114793736701
2076,Anam_Koronarsyndrom,Llama 3.1 SauerkrautLM 70B Instruct,0.8010045270449345
2075,Anam_Koronarsyndrom,Llama 3.1 SauerkrautLM 70B Instruct,0.822627101778309
2078,Anam_Koronarsyndrom,MedGemma 27B Instruct,0.7481580092237169
2077,Anam_Koronarsyndrom,MedGemma 27B Instruct,1.1150951889459282
2080,Anam_Koronarsyndrom,Meta Llama 3.1 8B Instruct,0.7868828956375292
2079,Anam_Koronarsyndrom,MedGemma 27B Instruct,0.7939310176409912
2081,Anam_Koronarsyndrom,MedGemma 27B Instruct,0.8094097257780231
2083,Anam_Koronarsyndrom,Meta Llama 3.1 8B Instruct,0.8012711441787377
2082,Anam_Koronarsyndrom,Meta Llama 3.1 8B Instruct,0.7946571545395497
2089,Anam_Pankreatitis,Llama 3.1 SauerkrautLM 70B Instruct,0.7864011577140374
2084,Anam_Koronarsyndrom,Meta Llama 3.1 8B Instruct,0.804451739718419
2090,Anam_Pankreatitis,Llama 3.1 SauerkrautLM 70B Instruct,0.8202230118168076
2092,Anam_Pankreatitis,Llama 3.1 SauerkrautLM 70B Instruct,0.8119523688130419
2091,Anam_Pankreatitis,Llama 3.1 SauerkrautLM 70B Instruct,0.8133090345775752
2093,Anam_Pankreatitis,MedGemma 27B Instruct,0.9658603119448449
2095,Anam_Pankreatitis,MedGemma 27B Instruct,0.7679224505196718
2094,Anam_Pankreatitis,MedGemma 27B Instruct,0.7541257602418266
2097,Anam_Pankreatitis,Meta Llama 3.1 8B Instruct,0.7370650200348339
2096,Anam_Pankreatitis,MedGemma 27B Instruct,0.7697420997942289
2098,Anam_Pankreatitis,Meta Llama 3.1 8B Instruct,0.7246396475292602
2099,Anam_Pankreatitis,Meta Llama 3.1 8B Instruct,0.700888854594022
2105,Anam_Pneumonie_02,Llama 3.1 SauerkrautLM 70B Instruct,0.7871325451442059
2100,Anam_Pankreatitis,Meta Llama 3.1 8B Instruct,1.0010864049113004
2106,Anam_Pneumonie_02,Llama 3.1 SauerkrautLM 70B Instruct,0.7942250440656595
2108,Anam_Pneumonie_02,Llama 3.1 SauerkrautLM 70B Instruct,0.7537044510233017
2107,Anam_Pneumonie_02,Llama 3.1 SauerkrautLM 70B Instruct,0.7430059540903348
2109,Anam_Pneumonie_02,MedGemma 27B Instruct,0.7135698731717146
2111,Anam_Pneumonie_02,MedGemma 27B Instruct,0.8735185991781396
2110,Anam_Pneumonie_02,MedGemma 27B Instruct,1.100604795160338
2112,Anam_Pneumonie_02,MedGemma 27B Instruct,1.0339642533740452
