embedding_model,model_name,mean_consistency,std_consistency,n_audio
embedding_AARI_German_Semantic_V3b,Medgemma,0.995257534622405,0.0007882986996607199,2
embedding_AARI_German_Semantic_V3b,GPT OSS,0.9937686738266627,0.0008475807924321571,2
embedding_AARI_German_Semantic_V3b,Llama 3.1,0.9911757809454083,0.0023482420715180232,2
embedding_AARI_German_Semantic_V3b,Sauerkraut,0.9832804585262347,0.005916973537124613,2
embedding_Alibaba_gte_multilingual_base,Llama 3.1,0.9929902068789497,0.0013299977326788948,2
embedding_Alibaba_gte_multilingual_base,Medgemma,0.9912117088604399,0.004454986128043724,2
embedding_Alibaba_gte_multilingual_base,GPT OSS,0.9746965504024285,0.001892626699700319,2
embedding_Alibaba_gte_multilingual_base,Sauerkraut,0.9559163330717432,0.017069762773915392,2
embedding_BGE_m3,Medgemma,0.9779898199972639,0.0013551298672790481,2
embedding_BGE_m3,Llama 3.1,0.9654951369076599,0.007599695961638689,2
embedding_BGE_m3,GPT OSS,0.9462514145001859,0.005502696782856087,2
embedding_BGE_m3,Sauerkraut,0.9136155849831571,0.040006856197621496,2
embedding_Jina_v3,Medgemma,0.9951274480428853,0.0002466428397488234,2
embedding_Jina_v3,GPT OSS,0.9799804246754509,0.003812735345352112,2
embedding_Jina_v3,Llama 3.1,0.9776708015585416,0.014413873040741846,2
embedding_Jina_v3,Sauerkraut,0.9447271268987802,0.0003387662978465997,2
embedding_meta-llama_Llama-3.1-8B-Instruct,Llama 3.1,0.9822664505106176,0.0037184699432342636,2
embedding_meta-llama_Llama-3.1-8B-Instruct,GPT OSS,0.9449028031214683,0.021929428271843805,2
embedding_meta-llama_Llama-3.1-8B-Instruct,Medgemma,0.879043354678374,0.15594635649612182,2
embedding_meta-llama_Llama-3.1-8B-Instruct,Sauerkraut,0.8625146898032444,0.02728489275577106,2
